samples,MEyellow,MEblue,MEwhite,MEcyan,MEroyalblue,MEorange,MEturquoise,MEbrown,MEdarkgrey,MEmagenta,MEsalmon,MEgrey60,MEred,MElightcyan,MEpurple,MEblack,MEdarkred,MEdarkturquoise,MElightyellow,MEdarkorange,MEgreenyellow,MEpink,MEgreen,MEtan,MEgrey
HCC21,-0.103085756067551,-0.0476807097182375,0.036712754588164,0.0530138851356499,-0.131455260578745,0.324206306403608,-0.144327723499429,-0.125277914983059,-0.154850256492699,0.0738542232423572,0.603724041725243,0.717628382035432,0.942240637402324,-0.337280055273357,-0.114316071969424,-0.101219608994029,-0.115947885533001,0.112836148431341,-0.0540589218072764,-0.217978342408795,-0.157219697951111,-0.0850136119849933,-0.0673779660376205,-0.223283529200989,-0.293646321541661
HCC22,-0.13315530217884,0.940371525839748,0.465155052504724,0.480232729984217,0.30042071491162,-0.227147876686476,-0.0441770156605031,-0.0230163642515011,0.0510449811696719,0.0182663499747451,-0.0185343087929434,0.454812741404696,-0.0555601746730933,-0.374188984712625,-0.0890558753950413,-0.0394494637382344,0.0268359048503201,-0.417298791993121,-0.384339583571251,-0.16989266357712,-0.0273586650355686,-0.0810680135588175,-0.123841732200526,-0.274093954149755,-0.241170135233956
HCC23,-0.0827649110332054,-0.0511309264241381,0.446937149682772,0.387877781836991,0.41038681587222,0.384237425474347,0.941732385921429,-0.0974591575788656,0.611071251183266,0.174528705157582,-0.132404163249228,-0.0076652325920955,-0.0279411465311605,-0.169749720938641,-0.108203064005109,-0.092702112387488,-0.168083062630845,0.0845743738642027,-0.174087027208598,-0.209674407752462,-0.116782162399295,-0.144693121524985,-0.173273893559731,-0.306512601880841,-0.308326782881846
HCC24,-0.135202766192773,-0.125949293480982,-0.302883458432064,0.106368415766794,-0.221933094550537,-0.261793851598128,-0.139121590093396,0.944235643787989,0.598660641054531,0.740726092395744,0.580030636177323,-0.126597063704594,-0.108806989555416,0.591839005189816,-0.154271028539494,-0.166648532759328,-0.764141752421638,-0.32588200914651,-0.390948777503301,-0.243441993469991,-0.158739829709766,-0.20745804046003,-0.118287221995785,-0.313941400943056,-0.355313408103755
HCC25,0.945661700253779,-0.035907185706733,0.251798897029553,0.397084033563953,0.675407782226844,0.229876908932746,-0.0740183488962545,-0.147530013455803,-0.021630792454073,0.27956988276283,0.104099341871694,0.0861276975147485,-0.0867279982769423,-0.320663960587137,-0.114915799912053,-0.139666094017612,-0.0876706861363911,-0.0864880181056655,-0.269970615974904,-0.245543779641634,-0.148563703885875,-0.111548881961871,-0.14841758521675,-0.298811510792202,-0.331432590411427
N1,-0.132206957130517,-0.151478106261832,-0.184619382896552,-0.295046197751423,-0.199594727263078,-0.021268738695386,-0.123141551267828,-0.108980020919587,-0.204114919034198,-0.266493258702406,-0.251593909742841,-0.246762838567589,-0.150678585022622,0.0222437500324649,-0.0786006984015256,-0.122718916956541,0.101995408374895,0.546200624775802,0.446780328360438,0.649339392512549,0.939916147126317,-0.114744933959087,-0.0962127138861004,0.225158043725396,0.316698166518898
N2,-0.0750778881187606,-0.146518676737862,-0.457326411304201,-0.394935803165312,-0.264839459394661,-0.52400704137261,-0.156551144545634,-0.104279358620235,-0.273913020318546,-0.289865831363936,-0.261030909256126,-0.237507261270756,-0.148905341462126,-0.0849971940773728,-0.049090749593827,-0.127820717199115,0.147101290858688,-0.466651577022034,-0.176170298643644,0.0135654455026153,-0.113963195852774,-0.0933185957658284,0.938835416692594,0.5706447778487,0.450507508967202
N3,-0.0627306253040525,-0.129846459705283,-0.0935909992988621,-0.196777412725567,-0.203861096950426,0.00759588074528855,-0.100492290852327,-0.120667866644853,-0.169558995228727,-0.197726977751454,-0.160325819888626,-0.200073660987773,-0.12275399268087,0.489184326445126,0.944941512744907,-0.0533602930698694,0.172842244771544,0.153356570303828,0.199093143243345,-0.119483955766621,-0.0415430652686766,-0.0224103083282721,-0.106297551350095,0.140534241008414,0.176392460239215
N4,-0.092424752031804,-0.107616063468831,0.203729425932535,-0.167038169080507,-0.164369090234861,0.428392820375729,-0.0414206138460872,-0.114423066318723,-0.205192822248565,-0.246293913300489,-0.179077026236113,-0.203600925726585,-0.119913143399809,0.106529995768346,-0.0979707541764864,0.942495500056583,0.527975799727951,0.39064662557114,0.395752732693786,-0.025527606188941,-0.0842129167437042,-0.0784908757952641,-0.109948626798273,0.0379264886738011,0.19772399715195
N5,-0.129012742196276,-0.144244104335855,-0.365913027806069,-0.370779263564796,-0.200162584038375,-0.340091833579119,-0.11848210725997,-0.102601881015361,-0.231516067630662,-0.286565272414975,-0.284887882608384,-0.236361838105484,-0.120953265800286,0.0770828381533806,-0.138517470751946,-0.0989097609343664,0.159092738138478,0.00870605332101679,0.407949020411405,0.568637910790399,-0.0915329102795468,0.938746383339149,0.00482187435228743,0.442379445710532,0.38856710529538
